Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Leaf_Detections,Pest_Detections
09:57:54.840,parallel,0.0,0.0,0.0,0.0,3251.0,48.4,730,None,None
09:57:55.343,parallel,0.0,103.4,104.1,17.1,3282.9,48.4,730,None,None
09:57:55.846,parallel,0.0,103.4,104.1,5.3,3282.9,48.5,730,None,None
09:57:56.349,parallel,6.1,75.2,104.1,8.0,3286.1,48.4,730,None,None
09:57:56.852,parallel,6.1,75.2,64.6,7.3,3289.3,48.3,730,None,None
09:57:57.355,parallel,8.3,76.2,64.6,8.7,3289.3,48.6,730,None,None
09:57:57.858,parallel,8.3,76.2,56.3,8.4,3289.3,48.5,806,None,None
09:57:58.362,parallel,8.3,60.1,56.3,6.6,3289.3,48.8,730,None,None
09:57:58.865,parallel,8.3,83.4,56.3,8.0,3289.3,48.5,730,None,None
09:57:59.368,parallel,8.3,83.4,64.1,8.0,3289.3,48.6,730,None,None
09:57:59.871,parallel,8.3,82.5,64.1,8.6,3289.3,48.8,730,None,None
09:58:00.373,parallel,8.3,82.5,63.8,9.0,3289.3,48.4,730,None,None
09:58:00.876,parallel,8.3,91.6,63.8,8.6,3289.3,48.6,730,None,None
09:58:01.380,parallel,8.3,91.6,63.8,7.3,3289.3,48.6,806,None,None
09:58:01.882,parallel,8.3,90.2,65.7,9.6,3289.3,48.3,730,None,None
09:58:02.385,parallel,8.3,90.4,65.7,9.0,3289.3,48.7,730,None,None
09:58:02.889,parallel,8.3,90.4,63.0,8.6,3289.3,48.4,730,None,None
09:58:03.392,parallel,8.3,84.2,63.0,8.6,3289.3,48.8,730,None,None
09:58:03.895,parallel,8.3,84.2,63.0,6.3,3289.5,48.5,730,None,None
09:58:04.397,parallel,8.3,91.3,59.3,10.3,3289.5,48.5,730,None,None
09:58:04.901,parallel,8.3,91.3,59.3,6.9,3289.5,48.9,730,None,None
09:58:05.404,parallel,8.3,85.0,63.3,14.0,3287.5,48.6,730,None,None
09:58:05.906,parallel,8.3,77.7,63.3,14.0,3293.7,48.8,730,None,None
09:58:06.409,parallel,8.3,77.7,63.3,6.0,3293.9,48.8,730,None,None
09:58:06.912,parallel,8.3,45.9,64.7,10.0,3293.9,48.5,730,None,None
09:58:07.415,parallel,8.3,45.9,64.7,14.3,3293.9,48.7,730,None,None
09:58:07.918,parallel,8.3,81.0,62.9,9.9,3293.9,48.5,730,None,None
09:58:08.421,parallel,6.9,81.0,62.9,8.6,3294.4,49.0,960,None,None
09:58:08.924,parallel,6.9,89.7,62.9,8.3,3294.4,48.6,730,None,None
09:58:09.427,parallel,6.9,78.3,59.7,10.6,3294.4,48.5,730,None,None
09:58:09.930,parallel,8.3,78.3,59.7,5.7,3294.3,48.9,730,None,None
09:58:10.432,parallel,8.3,90.3,58.1,10.6,3294.3,48.8,730,None,None
09:58:10.935,parallel,8.3,90.3,58.1,7.3,3294.3,48.8,730,None,None
09:58:11.438,parallel,8.3,81.4,58.1,8.3,3294.3,48.9,730,None,None
09:58:11.941,parallel,8.3,81.4,63.4,8.9,3294.2,48.6,730,None,None
09:58:12.444,parallel,8.3,78.4,63.4,8.3,3294.2,48.7,730,None,None
09:58:12.947,parallel,8.3,81.8,38.7,10.0,3294.2,48.8,730,None,None
09:58:13.450,parallel,8.3,81.8,38.7,6.0,3294.2,48.9,730,None,None
09:58:13.953,parallel,8.3,87.1,38.7,9.3,3294.2,48.7,730,None,None
09:58:14.456,parallel,8.3,87.1,63.3,8.3,3294.2,48.5,730,None,None
09:58:14.959,parallel,8.3,85.4,63.3,9.0,3294.2,49.0,730,None,None
09:58:15.461,parallel,8.3,85.4,57.9,9.0,3294.1,48.8,730,None,None
09:58:15.964,parallel,8.3,49.0,57.9,8.0,3294.1,48.8,730,None,None
09:58:16.467,parallel,8.3,77.2,57.9,10.0,3286.5,49.0,730,None,None
09:58:16.970,parallel,8.3,77.2,63.4,13.0,3292.9,48.6,730,None,None
09:58:17.473,parallel,8.3,92.3,63.4,8.6,3292.8,48.8,730,None,None
09:58:17.977,parallel,8.3,92.3,63.4,9.2,3292.8,48.9,730,None,None
09:58:18.480,parallel,8.3,82.9,65.2,9.2,3292.8,48.6,730,None,None
09:58:18.984,parallel,8.3,82.9,65.2,7.0,3292.8,48.7,730,None,None
