Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,GPU_%,GPU_MHz,Batt_Voltage_mV,Batt_Current_mA,Batt_Percent,Batt_State,Leaf_Detections,Pest_Detections
08:24:54.096,sequential,0.0,0.0,0.0,0.0,3172.6,49.3,730,0.0,306,11988,-922,82,discharging,None,None
08:24:54.600,sequential,0.0,99.9,71.6,19.1,3206.6,50.0,730,54.9,306,11972,-1074,82,discharging,None,None
08:24:55.105,sequential,0.0,99.9,71.6,9.6,3214.3,49.4,883,20.9,306,11984,-1013,82,discharging,None,None
08:24:55.610,sequential,6.0,99.9,71.6,8.9,3214.3,49.5,730,0.0,306,11988,-938,82,discharging,None,None
08:24:56.115,sequential,6.0,88.2,29.0,12.3,3216.8,49.3,730,0.0,306,11984,-929,82,discharging,None,None
08:24:56.620,sequential,8.3,88.2,29.0,10.2,3216.8,49.6,806,0.0,306,11984,-981,82,discharging,None,None
08:24:57.125,sequential,8.3,88.2,29.0,11.5,3217.2,49.6,1344,62.1,306,11960,-1178,82,discharging,None,None
08:24:57.630,sequential,8.3,86.9,27.5,11.6,3217.5,49.4,730,28.3,306,11976,-945,82,discharging,None,None
08:24:58.135,sequential,8.3,86.9,27.5,9.9,3217.9,49.2,730,0.0,306,11984,-952,82,discharging,None,None
08:24:58.640,sequential,8.3,85.8,29.9,15.1,3218.2,49.3,806,0.0,306,11984,-957,82,discharging,None,None
08:24:59.145,sequential,8.3,85.8,29.9,10.5,3218.2,49.5,806,0.0,306,11984,-978,82,discharging,None,None
08:24:59.649,sequential,8.3,85.8,29.9,10.0,3218.2,49.4,730,7.8,306,11976,-1028,82,discharging,None,None
08:25:00.154,sequential,8.3,86.7,28.5,13.5,3218.2,49.3,730,10.8,306,11972,-956,82,discharging,None,None
08:25:00.659,sequential,8.3,86.7,28.5,9.3,3218.2,49.3,730,0.0,306,11984,-933,82,discharging,None,None
08:25:01.164,sequential,8.3,94.6,28.5,13.6,3218.2,49.8,1037,80.4,714,11904,-1399,80,discharging,None,None
08:25:01.669,sequential,8.3,94.6,28.9,9.7,3218.2,49.4,806,0.0,306,11980,-963,82,discharging,None,None
08:25:02.173,sequential,8.3,94.6,28.9,9.6,3218.4,49.3,730,0.0,306,11972,-965,82,discharging,None,None
08:25:02.678,sequential,8.3,87.0,28.9,12.3,3218.4,49.5,730,10.9,306,11984,-989,82,discharging,None,None
08:25:03.183,sequential,8.3,87.0,28.9,8.3,3218.4,49.5,730,0.0,306,11988,-929,82,discharging,None,None
08:25:03.690,sequential,8.3,87.0,28.9,9.5,3218.4,49.3,806,0.0,306,11984,-941,82,discharging,None,None
08:25:04.196,sequential,8.4,96.2,28.9,13.5,3218.4,49.2,806,0.0,306,11980,-951,82,discharging,None,None
08:25:04.700,sequential,8.4,96.2,28.9,10.7,3218.4,49.7,730,40.3,306,11976,-981,82,discharging,None,None
08:25:05.205,sequential,8.3,86.8,30.1,13.1,3218.4,49.8,730,8.0,306,11984,-1033,82,discharging,None,None
08:25:05.709,sequential,8.3,86.8,30.1,7.7,3218.4,49.4,730,0.0,306,11984,-951,82,discharging,None,None
08:25:06.215,sequential,8.3,86.8,30.1,8.3,3218.4,49.2,730,0.0,306,11984,-957,82,discharging,None,None
08:25:06.719,sequential,8.3,95.8,30.1,20.6,3218.4,49.8,730,62.5,714,11912,-1441,80,discharging,None,None
08:25:07.224,sequential,8.3,95.8,35.7,6.3,3218.4,49.7,730,0.0,306,11976,-958,82,discharging,None,None
08:25:07.729,sequential,6.9,95.8,35.7,7.9,3218.4,49.4,730,0.0,306,11980,-930,82,discharging,None,None
08:25:08.234,sequential,6.9,75.1,29.0,10.3,3218.4,49.5,730,0.0,306,11984,-933,82,discharging,None,None
08:25:08.740,sequential,6.9,75.1,29.0,7.6,3218.4,49.7,730,0.0,306,11984,-949,82,discharging,None,None
08:25:09.246,sequential,8.3,75.1,29.0,8.9,3218.4,49.2,806,0.0,306,11984,-976,82,discharging,None,None
08:25:09.751,sequential,8.3,77.2,30.6,11.0,3218.4,49.5,730,18.4,306,11984,-1006,82,discharging,None,None
08:25:10.256,sequential,8.3,77.2,30.6,7.6,3218.4,49.2,730,0.0,306,11984,-934,82,discharging,None,None
08:25:10.761,sequential,8.3,77.7,30.4,10.9,3218.4,49.8,730,0.0,306,11984,-930,82,discharging,None,None
08:25:11.266,sequential,8.3,77.7,30.4,7.3,3218.4,49.4,730,0.0,306,11980,-953,82,discharging,None,None
08:25:11.771,sequential,8.3,77.7,30.4,8.3,3218.4,49.4,730,0.0,306,11980,-968,82,discharging,None,None
08:25:12.275,sequential,8.3,96.0,28.1,11.7,3218.4,49.2,730,18.6,306,11976,-973,82,discharging,None,None
08:25:12.780,sequential,8.3,96.0,28.1,7.3,3218.4,49.2,730,0.0,306,11984,-946,82,discharging,None,None
08:25:13.285,sequential,8.3,86.2,28.1,11.2,3218.4,49.5,883,81.1,714,11900,-1318,80,discharging,None,None
08:25:13.790,sequential,8.3,86.2,30.3,8.4,3218.4,49.2,730,0.0,306,11980,-942,82,discharging,None,None
08:25:14.295,sequential,8.3,86.2,30.3,8.3,3218.4,49.3,730,0.0,306,11980,-1007,82,discharging,None,None
08:25:14.800,sequential,8.3,79.3,30.7,11.3,3218.4,49.3,730,12.2,306,11972,-942,82,discharging,None,None
08:25:15.305,sequential,8.3,79.3,30.7,7.9,3218.4,49.5,730,0.0,306,11984,-931,82,discharging,None,None
08:25:15.810,sequential,8.3,79.3,30.7,7.3,3218.4,49.3,730,0.0,306,11984,-949,82,discharging,None,None
08:25:16.315,sequential,8.3,79.7,31.0,12.2,3218.4,49.2,730,0.0,306,11980,-963,82,discharging,None,None
08:25:16.820,sequential,8.3,79.7,31.0,8.0,3218.4,49.4,730,0.0,306,11980,-962,82,discharging,None,None
08:25:17.325,sequential,8.3,83.8,29.9,11.9,3218.4,49.6,730,12.6,306,11976,-967,82,discharging,None,None
08:25:17.830,sequential,8.3,83.8,29.9,7.6,3218.4,49.3,730,0.0,306,11984,-934,82,discharging,None,None
08:25:18.335,sequential,8.3,83.8,29.9,7.6,3218.4,49.2,730,0.0,306,11984,-940,82,discharging,None,None
08:25:18.840,sequential,8.3,369.9,29.9,18.2,3218.4,49.7,1344,60.0,306,11940,-1028,81,discharging,None,None
08:25:19.346,sequential,8.3,369.9,66.4,7.7,3218.4,49.7,883,13.5,306,11976,-978,82,discharging,None,None
08:25:19.851,sequential,8.3,369.9,66.4,7.3,3218.4,49.3,730,18.5,306,11984,-1006,82,discharging,None,None
08:25:20.355,sequential,7.0,83.7,32.8,11.3,3218.4,49.2,730,0.0,306,11984,-932,82,discharging,None,None
08:25:20.860,sequential,7.0,83.7,32.8,7.6,3218.4,49.5,806,0.0,306,11980,-931,82,discharging,None,None
08:25:21.365,sequential,8.3,83.7,32.8,7.9,3218.4,49.7,806,0.0,306,11980,-949,82,discharging,None,None
08:25:21.870,sequential,8.3,77.6,32.1,12.0,3218.4,49.4,730,0.0,306,11980,-972,82,discharging,None,None
