Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Leaf_Detections,Pest_Detections
21:34:51.278,staggered,0.0,0.0,0.0,0.0,868.3,55.1,2400,None,None
21:34:51.786,staggered,0.0,0.0,0.0,70.4,956.7,59.5,2400,None,None
21:34:52.286,staggered,14.7,795.8,534.2,79.3,977.7,57.3,2400,None,None
21:34:52.787,staggered,17.0,795.8,534.2,5.1,977.7,56.8,2400,None,None
21:34:53.294,staggered,16.1,795.8,534.2,64.9,988.4,60.6,2400,None,None
21:34:53.795,staggered,16.9,813.8,535.5,100.0,988.4,61.1,2400,None,None
21:34:54.295,staggered,16.9,813.8,535.5,5.6,990.0,57.3,2400,None,None
21:34:54.796,staggered,16.5,813.8,535.5,44.7,990.0,60.0,2400,None,None
21:34:55.297,staggered,16.5,583.4,535.5,100.0,992.4,61.7,2400,None,None
21:34:55.798,staggered,16.8,583.4,317.7,9.1,993.3,58.4,2400,None,None
21:34:56.302,staggered,16.1,583.4,317.7,67.3,993.3,61.7,2400,None,None
21:34:56.802,staggered,17.1,487.1,195.3,71.7,992.1,60.0,2400,None,None
21:34:57.347,staggered,16.8,487.1,195.3,11.5,990.9,58.4,2400,None,None
21:34:57.848,staggered,16.5,487.1,195.3,96.0,990.9,62.2,2400,None,None
21:34:58.354,staggered,16.5,536.3,237.2,53.8,984.5,59.5,2400,None,None
21:34:58.858,staggered,16.7,536.3,237.2,37.5,984.5,61.7,2400,None,None
21:34:59.359,staggered,16.4,487.2,237.2,68.2,981.4,60.6,2400,None,None
21:34:59.859,staggered,16.9,487.2,204.7,42.2,981.4,59.5,2400,None,None
21:35:00.360,staggered,16.4,487.2,204.7,78.8,980.0,64.5,2400,None,None
21:35:00.861,staggered,16.6,472.4,204.7,41.9,979.5,62.8,2400,None,None
21:35:01.362,staggered,16.6,472.4,196.2,44.2,973.6,62.2,2400,None,None
21:35:01.865,staggered,16.7,473.6,196.2,72.9,973.6,60.6,2400,None,None
21:35:02.367,staggered,16.8,473.6,191.8,42.7,970.8,62.8,2400,None,None
21:35:02.870,staggered,16.5,473.6,191.8,71.5,970.8,63.9,2400,None,None
21:35:03.371,staggered,16.8,477.5,191.8,36.2,968.5,60.6,2400,None,None
21:35:03.874,staggered,16.6,477.5,191.9,57.2,968.5,62.8,2400,None,None
21:35:04.374,staggered,16.6,480.0,191.9,82.1,964.0,62.2,2400,None,None
21:35:04.875,staggered,16.7,480.0,191.9,6.0,964.0,60.0,2400,None,None
21:35:05.377,staggered,16.5,480.0,271.8,88.6,973.4,65.0,2400,None,None
21:35:05.878,staggered,16.6,570.9,271.8,58.1,974.4,61.1,2400,None,None
21:35:06.379,staggered,16.9,570.9,271.8,4.6,972.8,59.5,2400,None,None
21:35:06.880,staggered,16.2,570.9,271.8,95.5,972.8,64.5,2400,None,None
21:35:07.380,staggered,16.2,704.9,483.8,59.2,971.7,61.1,2400,None,None
21:35:07.881,staggered,17.2,704.9,483.8,6.5,971.7,60.6,2400,None,None
21:35:08.383,staggered,16.2,704.9,483.8,86.0,969.8,64.5,2400,None,None
21:35:08.884,staggered,16.6,800.0,517.4,77.0,964.9,61.7,2400,None,None
21:35:09.384,staggered,17.1,800.0,517.4,12.6,963.0,61.7,2400,None,None
21:35:09.890,staggered,16.4,800.0,517.4,68.8,963.0,64.5,2400,None,None
21:35:10.390,staggered,16.4,815.8,507.2,96.0,961.4,64.5,2400,None,None
21:35:10.891,staggered,16.9,815.8,507.2,5.6,963.0,61.1,2400,None,None
21:35:11.394,staggered,16.7,815.8,507.2,47.3,962.2,63.9,2400,None,None
21:35:11.895,staggered,16.0,815.8,507.2,100.0,962.2,65.0,2400,None,None
21:35:12.396,staggered,17.3,737.3,449.1,19.8,961.1,61.1,2400,None,None
21:35:12.897,staggered,16.4,737.3,449.1,40.7,961.1,63.9,2400,None,None
21:35:13.397,staggered,16.4,525.9,449.1,98.5,960.0,65.5,2400,None,None
21:35:13.898,staggered,16.9,525.9,234.2,7.6,955.8,61.7,2400,None,None
21:35:14.402,staggered,16.7,525.9,234.2,74.1,954.7,65.5,2400,None,None
21:35:14.902,staggered,16.5,479.2,201.9,63.3,954.7,62.2,2400,None,None
21:35:15.406,staggered,16.7,479.2,201.9,18.0,952.7,62.8,2400,None,None
21:35:15.907,staggered,15.1,511.2,201.9,94.5,956.7,63.9,2400,None,None
21:35:16.407,staggered,15.1,511.2,195.4,42.2,958.1,62.2,2400,None,None
21:35:16.908,staggered,16.7,511.2,195.4,48.0,958.1,65.5,2400,None,None
21:35:17.410,staggered,16.7,478.8,195.4,55.1,958.5,62.8,2400,None,None
21:35:17.911,staggered,16.7,478.8,199.8,41.5,958.5,61.7,2400,None,None
21:35:18.417,staggered,16.3,478.8,199.8,90.0,958.5,65.5,2400,None,None
21:35:18.917,staggered,16.9,485.0,199.8,33.8,954.4,64.5,2400,None,None
21:35:19.418,staggered,16.9,485.0,191.7,52.5,953.9,65.5,2400,None,None
