Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Leaf_Detections,Pest_Detections
00:39:49.775,staggered,0.0,0.0,0.0,0.0,867.9,49.6,2400,None,None
00:39:50.282,staggered,16.5,0.0,0.0,82.8,954.2,53.5,2400,None,None
00:39:50.782,staggered,16.5,883.4,717.0,96.0,977.9,53.5,2400,None,None
00:39:51.283,staggered,16.7,883.4,717.0,5.1,979.0,51.2,2400,None,None
00:39:51.786,staggered,16.7,883.4,717.0,48.2,982.4,54.5,2400,None,None
00:39:52.286,staggered,16.2,620.8,717.0,99.0,993.4,55.6,2400,None,None
00:39:52.787,staggered,17.0,620.8,356.2,10.4,993.4,52.4,2400,None,None
00:39:53.287,staggered,16.5,620.8,356.2,63.5,993.4,56.2,2400,None,None
00:39:53.788,staggered,16.5,472.4,188.2,74.6,992.8,54.0,2400,None,None
00:39:54.289,staggered,16.8,472.4,188.2,12.1,990.2,52.9,2400,None,None
00:39:54.790,staggered,16.4,496.3,188.2,89.1,990.2,54.5,2400,None,None
00:39:55.290,staggered,16.9,496.3,189.1,43.5,988.5,53.5,2400,None,None
00:39:56.023,staggered,16.7,496.3,189.1,65.9,988.5,57.3,2400,None,None
00:39:56.524,staggered,16.7,562.2,186.2,59.7,986.8,55.6,2400,None,None
00:39:57.028,staggered,10.4,562.2,186.2,28.2,986.0,56.2,2400,None,None
00:39:57.528,staggered,16.5,497.4,186.2,78.6,992.1,55.1,2400,None,None
00:39:58.029,staggered,16.7,497.4,201.7,44.5,991.3,54.5,2400,None,None
00:39:58.529,staggered,16.7,497.4,201.7,65.8,991.3,57.3,2400,None,None
00:39:59.030,staggered,16.8,482.2,201.7,37.8,991.3,54.5,2400,None,None
00:39:59.534,staggered,16.8,482.2,181.1,47.3,988.4,55.6,2400,None,None
00:40:00.034,staggered,16.4,496.2,181.1,92.5,986.0,57.9,2400,None,None
00:40:00.535,staggered,16.8,496.2,181.1,21.3,984.1,56.8,2400,None,None
00:40:01.036,staggered,16.3,496.2,183.9,72.6,983.3,59.0,2400,None,None
00:40:01.536,staggered,17.1,483.1,183.9,51.5,982.9,54.0,2400,None,None
00:40:02.175,staggered,16.5,483.1,183.9,40.4,978.5,55.6,2400,None,None
00:40:02.675,staggered,15.2,490.1,337.1,97.0,978.5,59.5,2400,None,None
00:40:03.176,staggered,15.2,490.1,337.1,6.5,975.0,54.5,2400,None,None
00:40:03.682,staggered,16.7,490.1,337.1,62.1,975.0,58.4,2400,None,None
00:40:04.182,staggered,16.5,669.6,378.9,89.3,974.1,57.9,2400,None,None
00:40:04.682,staggered,16.8,669.6,378.9,6.9,974.1,55.1,2400,None,None
00:40:05.190,staggered,16.4,669.6,378.9,52.5,973.7,57.9,2400,None,None
00:40:05.694,staggered,16.8,669.6,378.9,100.0,973.7,59.0,2400,None,None
00:40:06.194,staggered,16.8,878.2,748.1,29.5,967.1,56.2,2400,None,None
00:40:06.698,staggered,16.7,878.2,748.1,21.7,967.1,57.3,2400,None,None
00:40:07.199,staggered,16.5,878.2,748.1,100.0,966.9,59.0,2400,None,None
00:40:07.699,staggered,16.8,788.1,553.2,53.0,974.2,56.8,2400,None,None
